TABLE,Total Records 2025,Total High Quality 2025,Total 3D Records 2025,Total Records 2030,Total High Quality 2030,Total 3D Records 2030
AT,2773514,1508099,60174,3375249,2109834,401157
BE,2985973,2733759,72949,3715463,3463249,486327
BG,226229,194428,19767,423901,392101,131782
HR,161708,99807,14153,303234,241332,94351
CY,59545,30444,4288,102425,73324,28586
CZ,1236995,725333,53360,1770592,1258931,355732
DK,1303176,933465,40613,1709306,1339596,270754
EE,688135,525954,5989,748030,585849,39930
FI,1312668,1180270,32906,1641725,1509327,219371
FR,6412658,4331993,382864,10241296,8160631,2552426
DE,9106493,7677448,535456,14461052,13032008,3569707
GR,918463,640197,38530,1303768,1025502,256870
HU,987126,826518,38264,1369765,1209157,255093
IE,429477,387136,51407,943545,901204,342712
IT,4198167,2735381,307194,7270107,5807321,2047960
LV,175587,160423,7062,246210,231046,47082
LT,308309,266287,12593,434234,392212,83950
LU,123827,59552,8734,211167,146893,58227
MT,68715,19411,2761,96323,47019,18405
NL,9923484,8350988,119548,11118962,9546466,796985
PL,4031348,1928124,148669,5518040,3414815,991127
PT,493977,429897,43640,930377,866297,290933
RO,619169,568504,72593,1345102,1294438,483956
SK,151760,137107,20498,356742,342089,136654
SI,665030,448800,10008,765109,548880,66720
ES,4501245,2769000,231097,6812218,5079973,1540649
SE,4746911,3487019,65938,5406296,4146404,439590
